nombre,provincia,distrito,lat,lon,fuente,funerario
Guitarrani,chucuito,juli,-16.228242279,-69.461343159,INC,False
Pucara Juli,chucuito,juli,-16.235632308,-69.471634541,INC,False
Huancarani,chucuito,juli,-16.239476061,-69.482872502,INC,False
Pucara Sullicane Chullpa 1,chucuito,juli,-16.246616592,-69.471220903,INC,True
Pucara Sullicane Chullpa 2,chucuito,juli,-16.246814947,-69.471455318,INC,True
Pucara Sullicane Chullpa 3,chucuito,juli,-16.247068685,-69.471175191,INC,True
Pucara Sullicane Chullpa 4,chucuito,juli,-16.246666408,-69.46503559,INC,True
Choquejawe Yacari,chucuito,juli,-16.226762171,-69.460226258,INC,False
Yacari Jaquecucho,chucuito,juli,-16.234092747,-69.447891907,INC,False
Yacari Tisnachuro Chullpa,chucuito,juli,-16.241995026,-69.447198615,INC,True
Yacari Condoruta,chucuito,juli,-16.234446799,-69.447181566,INC,False
Huancancareni Pattha,chucuito,juli,-16.260380665,-69.456317785,INC,False
Casarpujo,chucuito,juli,-16.250695689,-69.449417385,INC,False
Laguna Colorada 10,lampa,lampa,-15.35755194,-70.342276933,INC,False
Isla Amantañe,lampa,lampa,-15.364643103,-70.347464332,INC,False
Cueva del Toro  (Cueva del Puma),lampa,lampa,-15.377412027,-70.390538739,INC,False
Laguna Colorada 12,lampa,lampa,-15.365167126,-70.353466755,INC,False
Cerro Huaynarroque,san román,juliaca,-15.501808386,-70.139290846,INC,False
Pucara del Cerro  Espinal,san román,juliaca,-15.504365876,-70.146399026,INC,False
Montículo Satélite,san román,caracoto,-15.543034012,-70.123796972,INC,False
Chaulla Pampa I,san román,caracoto,-15.53534577,-70.097844914,INC,False
Chaulla Pampa II,san román,caracoto,-15.532792964,-70.102222797,INC,False
Cerro Cruz de Taparachi,san román,juliaca,-15.530320731,-70.138729368,INC,False
Apacheta Cerro Monos,san román,juliaca,-15.524566428,-70.146762246,INC,False
Pucara  Cerro Monos,san román,juliaca,-15.519464529,-70.157893467,INC,False
Unocolla,san román,juliaca,-15.442868548,-70.198463139,INC,False
Camino-Tramo Chacas (Laguna),san román,juliaca,-15.423950845,-70.211605325,INC,False
Laguna Chacas I  - Huayco Cochaquinray,san román,juliaca,-15.413902711,-70.2209209,INC,False
Laguna Chacas II Terraza,san román,juliaca,-15.402105943,-70.229284259,INC,False
Laguna Chacas III,san román,juliaca,-15.387590632,-70.229049983,INC,False
Laguna Chacas IV,san román,juliaca,-15.379877588,-70.229554412,INC,False
Laguna Chacas V,san román,juliaca,-15.373993243,-70.22790822,INC,False
Andenerías de Kokán,san román,juliaca,-15.402285141,-70.209793368,INC,False
Aya Moq'o,san román,juliaca,-15.438282573,-70.192342152,INC,False
Terraza Fluvial,san román,juliaca,-15.438974816,-70.18629801,INC,False
Andenerías de  Arcopunco,san román,juliaca,-15.427430431,-70.176382674,INC,False
Montículo Chejollani,san román,juliaca,-15.432810059,-70.174418732,INC,False
Terraza Fluvial ( Fundo Copurano Apurímac ),san román,juliaca,-15.434006218,-70.165274266,INC,False
Isla Cocha,san román,juliaca,-15.431634155,-70.160825262,INC,False
Pukara de Maravillas,san román,juliaca,-15.429892438,-70.15855112,INC,False
Cerro Chingora,san román,juliaca,-15.389792413,-70.157248286,INC,False
Montículo Maravillas,san román,juliaca,-15.428531688,-70.145553253,INC,False
Colina  Maravillas,san román,juliaca,-15.435825769,-70.140393204,INC,False
Montículo Isla Qorihuata,san román,juliaca,-15.446769033,-70.132195827,INC,False
Apacheta Cruz Cunca,lampa,lampa,-15.413775496,-70.387379426,INC,False
Roca y Montículos Siete Keros,lampa,lampa,-15.442406728,-70.416401245,INC,False
Chullpa Yuraq Aya,lampa,lampa,-15.444096267,-70.426374277,INC,True
Tariachi,san román,juliaca,-15.490087686,-70.183475638,INC,False
Calapampa,carabaya,crucero,-14.344260542,-70.114564076,INC,False
Terraza,carabaya,crucero,-14.357550944,-70.05096994,INC,False
Triunfo,azangaro,san antón,-14.548803323,-70.297048599,INC,False
San Antón Antiguo,azangaro,san antón,-14.59065268,-70.305814369,INC,False
Molino Colonial,azangaro,san josé,-14.668507913,-70.159561737,INC,False
Putina  Punku,azangaro,san josé,-14.683919687,-70.195442213,INC,False
Laguna Colorada 5,lampa,lampa,-15.345959187,-70.360323236,INC,False
Laguna Colorada 8,lampa,lampa,-15.366187562,-70.342494086,INC,False
Laguna Colorada 11,lampa,lampa,-15.370555032,-70.343705138,INC,False
Apacheta Espinal,san román,juliaca,-15.502988685,-70.141432919,INC,False
Comer Moq'o,san román,caracoto,-15.534055609,-70.111534896,INC,False
Montículo  Pampa Maravillas,san román,juliaca,-15.439596466,-70.132060013,INC,False
Camino Tramo a Huayta,lampa,lampa,-15.463369281,-70.401348063,INC,False
Pukara Titicura Victoria,san román,juliaca,-15.419553197,-70.226714469,INC,False
Yacari Tisnachuro,chucuito,juli,-16.251008264,-69.451214815,INC,False
Huancarane Pampa,chucuito,juli,-16.253985089,-69.458371154,INC,False
